index,name,coord_x,coord_y,price,partNumber,unitOfMeasure,owner_name,owner_height,owner_weight,owner_location_x,owner_location_y,owner_locationz
100,meat,323,686,196.4,ZndoXogjYNjFpgvY,CENTIMETERS,Diena,646.88,149.32,983,229,939
101,cheese,370,741,688.7,mZoDNoAtuLiKM,CENTIMETERS,Flory,707.92,660.99,646,85,326
102,kolbasa,913,834,641.29,iRaztqyXKtDdZ,CENTIMETERS,Rubie,751.15,82.44,199,724,244
103,cheese,78,772,781.14,LFwPOVVRrEvIkp,GRAMS,Rhoda,266.76,160.6,998,836,717
104,meat,703,358,279.26,UYYsqRcGGnKjA,KILOGRAMS,Kaia,471.91,387.08,27,409,960
105,kolbasa,890,228,592.2,fLveVFcYYXZzKnk,LITERS,Jasmina,468.62,799.03,194,22,856
106,milk,142,255,999.78,fbtMsCncKAycz,KILOGRAMS,Netty,854.36,920.74,761,37,561
107,kolbasa,492,-124,599.03,sXHQQoqViPthG,CENTIMETERS,Christian,726.59,624.02,699,561,882
108,cheese,742,379,851.88,jQXgNkHLpXrAX,CENTIMETERS,Wanda,763.65,163.03,204,495,118
109,cheese,323,-27,405.45,OmHhYGcXgvyKVbc,GRAMS,Sonni,592.36,942.16,589,41,788
110,kolbasa,845,338,459.31,anAJwcimRDZNJ,GRAMS,Gwyneth,629.11,906.59,883,236,547
111,kolbasa,166,501,493.57,WLzNvScBVvhkbSu,KILOGRAMS,Kenna,418.77,469.11,78,128,64
112,kolbasa,858,922,581.31,MOMJZMvKfDKbTn,LITERS,Raquela,991.78,969.27,83,954,981
113,meat,539,991,162.55,RtrYnJjNIQJVLra,LITERS,Marinna,321.31,334.64,559,790,373
114,cheese,216,755,532.2,CYjVqeKWNZKSJVAu,LITERS,Sharai,571.66,932.16,170,483,418
115,meat,128,428,935.18,keGoorZsmSuui,KILOGRAMS,Verla,855.2,865.84,474,113,133
